Date,Close
02/03/2015 16:00:00,385.66
03/03/2015 16:00:00,384.61
04/03/2015 16:00:00,382.72
05/03/2015 16:00:00,387.83
06/03/2015 16:00:00,380.09
09/03/2015 16:00:00,378.56
10/03/2015 16:00:00,369.51
11/03/2015 16:00:00,366.37
12/03/2015 16:00:00,374.24
13/03/2015 16:00:00,370.58
16/03/2015 16:00:00,373.35
17/03/2015 16:00:00,371.92
18/03/2015 16:00:00,375.14
19/03/2015 16:00:00,373.24
20/03/2015 16:00:00,378.49
23/03/2015 16:00:00,375.11
24/03/2015 16:00:00,374.09
25/03/2015 16:00:00,370.96
26/03/2015 16:00:00,367.35
27/03/2015 16:00:00,370.56
30/03/2015 16:00:00,374.59
31/03/2015 16:00:00,372.1
01/04/2015 16:00:00,370.26
02/04/2015 16:00:00,372.25
06/04/2015 16:00:00,377.04
07/04/2015 16:00:00,374.41
08/04/2015 16:00:00,381.2
09/04/2015 16:00:00,383.54
10/04/2015 16:00:00,382.65
13/04/2015 16:00:00,382.36
14/04/2015 16:00:00,385.11
15/04/2015 16:00:00,383.45
16/04/2015 16:00:00,386.04
17/04/2015 16:00:00,375.56
20/04/2015 16:00:00,389.51
21/04/2015 16:00:00,391.18
22/04/2015 16:00:00,389.8
23/04/2015 16:00:00,389.99
24/04/2015 16:00:00,445.1
27/04/2015 16:00:00,438.56
28/04/2015 16:00:00,429.31
29/04/2015 16:00:00,429.37
30/04/2015 16:00:00,421.78
01/05/2015 16:00:00,422.87
04/05/2015 16:00:00,423.04
05/05/2015 16:00:00,421.19
06/05/2015 16:00:00,419.1
07/05/2015 16:00:00,426.88
08/05/2015 16:00:00,433.69
11/05/2015 16:00:00,432.85
12/05/2015 16:00:00,431.02
13/05/2015 16:00:00,426.87
14/05/2015 16:00:00,432.28
15/05/2015 16:00:00,426
18/05/2015 16:00:00,425.24
19/05/2015 16:00:00,421.71
20/05/2015 16:00:00,423.86
21/05/2015 16:00:00,431.63
22/05/2015 16:00:00,427.63
26/05/2015 16:00:00,425.47
27/05/2015 16:00:00,431.42
28/05/2015 16:00:00,426.57
29/05/2015 16:00:00,429.23
01/06/2015 16:00:00,430.92
02/06/2015 16:00:00,430.99
03/06/2015 16:00:00,436.59
04/06/2015 16:00:00,430.78
05/06/2015 16:00:00,426.95
08/06/2015 16:00:00,423.5
09/06/2015 16:00:00,425.48
10/06/2015 16:00:00,430.77
11/06/2015 16:00:00,432.97
12/06/2015 16:00:00,429.92
15/06/2015 16:00:00,423.67
16/06/2015 16:00:00,427.26
17/06/2015 16:00:00,427.81
18/06/2015 16:00:00,439.39
19/06/2015 16:00:00,434.92
22/06/2015 16:00:00,436.29
23/06/2015 16:00:00,445.99
24/06/2015 16:00:00,440.84
25/06/2015 16:00:00,440.1
26/06/2015 16:00:00,438.1
29/06/2015 16:00:00,429.86
30/06/2015 16:00:00,434.09
01/07/2015 16:00:00,437.39
02/07/2015 16:00:00,437.71
06/07/2015 16:00:00,436.04
07/07/2015 16:00:00,436.72
08/07/2015 16:00:00,429.7
09/07/2015 16:00:00,434.39
10/07/2015 16:00:00,443.51
13/07/2015 16:00:00,455.57
14/07/2015 16:00:00,465.57
15/07/2015 16:00:00,461.19
16/07/2015 16:00:00,475.48
17/07/2015 16:00:00,483.01
20/07/2015 16:00:00,488.1
21/07/2015 16:00:00,488
22/07/2015 16:00:00,488.27
23/07/2015 16:00:00,482.18
24/07/2015 16:00:00,529.42
27/07/2015 16:00:00,531.41
28/07/2015 16:00:00,526.03
29/07/2015 16:00:00,529
30/07/2015 16:00:00,536.76
31/07/2015 16:00:00,536.15
03/08/2015 16:00:00,535.03
04/08/2015 16:00:00,531.9
05/08/2015 16:00:00,537.01
06/08/2015 16:00:00,529.46
07/08/2015 16:00:00,522.62
10/08/2015 16:00:00,524
11/08/2015 16:00:00,527.46
12/08/2015 16:00:00,525.91
13/08/2015 16:00:00,529.66
14/08/2015 16:00:00,531.52
17/08/2015 16:00:00,535.22
18/08/2015 16:00:00,535.02
19/08/2015 16:00:00,532.92
20/08/2015 16:00:00,515.78
21/08/2015 16:00:00,494.47
24/08/2015 16:00:00,463.37
25/08/2015 16:00:00,466.37
26/08/2015 16:00:00,500.77
27/08/2015 16:00:00,518.37
28/08/2015 16:00:00,518.01
31/08/2015 16:00:00,512.89
01/09/2015 16:00:00,496.54
02/09/2015 16:00:00,510.55
03/09/2015 16:00:00,504.72
04/09/2015 16:00:00,499
08/09/2015 16:00:00,517.54
09/09/2015 16:00:00,516.89
10/09/2015 16:00:00,522.24
11/09/2015 16:00:00,529.44
14/09/2015 16:00:00,521.38
15/09/2015 16:00:00,522.37
16/09/2015 16:00:00,527.39
17/09/2015 16:00:00,538.87
18/09/2015 16:00:00,540.26
21/09/2015 16:00:00,548.39
22/09/2015 16:00:00,538.4
23/09/2015 16:00:00,536.07
24/09/2015 16:00:00,533.75
25/09/2015 16:00:00,524.25
28/09/2015 16:00:00,504.06
29/09/2015 16:00:00,496.07
30/09/2015 16:00:00,511.89
01/10/2015 16:00:00,520.72
02/10/2015 16:00:00,532.54
05/10/2015 16:00:00,543.68
06/10/2015 16:00:00,537.48
07/10/2015 16:00:00,541.94
08/10/2015 16:00:00,533.16
09/10/2015 16:00:00,539.8
12/10/2015 16:00:00,550.19
13/10/2015 16:00:00,548.9
14/10/2015 16:00:00,544.83
15/10/2015 16:00:00,562.44
16/10/2015 16:00:00,570.76
19/10/2015 16:00:00,573.15
20/10/2015 16:00:00,560.88
